time_period,region_name,characteristic_sex,sub_name_comb,num_maths_science,num_entered_comb_and_no_other_matsci,perc_entered_comb_and_no_other_matsci
2019 to 20,North West,All,Maths & Chemistry & Physics & Computer Science,4,9,0.031
2019 to 20,North East,All,Maths & Chemistry & Physics & Computer Science,4,1,0.011
2019 to 20,London,All,Maths & Chemistry & Physics & Computer Science,4,6,0.015
2019 to 20,Yorkshire and The Humber,All,Maths & Chemistry & Physics & Computer Science,4,5,0.025
2019 to 20,East of England,Female,Maths,1,868,5.913
2019 to 20,West Midlands,Female,Maths,1,731,5.476
2019 to 20,East Midlands,Female,Maths,1,529,5.386
2019 to 20,South West,Female,Maths,1,616,5.295
2019 to 20,South East,Female,Maths,1,1471,6.467
2019 to 20,North West,Female,Maths,1,921,5.657
2019 to 20,North East,Female,Maths,1,246,4.755
2019 to 20,London,Female,Maths,1,1758,7.816
2019 to 20,Yorkshire and The Humber,Female,Maths,1,610,5.241
2019 to 20,East of England,Female,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,West Midlands,Female,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,East Midlands,Female,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,South West,Female,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,South East,Female,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,North West,Female,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,North East,Female,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,London,Female,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,Yorkshire and The Humber,Female,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,East of England,Male,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,West Midlands,Male,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,East Midlands,Male,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,South West,Male,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,South East,Male,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,North West,Male,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,North East,Male,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,London,Male,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,Yorkshire and The Humber,Male,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,East of England,All,Physics & Computer Science,2,47,0.176
2019 to 20,West Midlands,All,Physics & Computer Science,2,18,0.078
2019 to 20,East Midlands,All,Physics & Computer Science,2,28,0.161
2019 to 20,South West,All,Physics & Computer Science,2,32,0.155
2019 to 20,South East,All,Physics & Computer Science,2,43,0.104
2019 to 20,North West,All,Physics & Computer Science,2,34,0.118
2019 to 20,North East,All,Physics & Computer Science,2,23,0.255
2019 to 20,London,All,Physics & Computer Science,2,44,0.11
2019 to 20,Yorkshire and The Humber,All,Physics & Computer Science,2,25,0.124
2019 to 20,East of England,All,Maths & Chemistry,2,335,1.254
2019 to 20,West Midlands,All,Maths & Chemistry,2,342,1.481
2019 to 20,East Midlands,All,Maths & Chemistry,2,256,1.474
2019 to 20,South West,All,Maths & Chemistry,2,270,1.31
2019 to 20,South East,All,Maths & Chemistry,2,552,1.335
2019 to 20,North West,All,Maths & Chemistry,2,469,1.628
2019 to 20,North East,All,Maths & Chemistry,2,131,1.453
2019 to 20,London,All,Maths & Chemistry,2,774,1.93
2019 to 20,Yorkshire and The Humber,All,Maths & Chemistry,2,303,1.499
2019 to 20,East of England,Male,Maths & Further Maths & Chemistry & Physics,4,199,1.652
2019 to 20,West Midlands,Male,Maths & Further Maths & Chemistry & Physics,4,151,1.549
2019 to 20,East Midlands,Male,Maths & Further Maths & Chemistry & Physics,4,120,1.591
2019 to 20,South West,Male,Maths & Further Maths & Chemistry & Physics,4,128,1.427
2019 to 20,South East,Male,Maths & Further Maths & Chemistry & Physics,4,298,1.601
2019 to 20,North West,Male,Maths & Further Maths & Chemistry & Physics,4,115,0.919
2019 to 20,North East,Male,Maths & Further Maths & Chemistry & Physics,4,36,0.938
2019 to 20,London,Male,Maths & Further Maths & Chemistry & Physics,4,236,1.34
2019 to 20,Yorkshire and The Humber,Male,Maths & Further Maths & Chemistry & Physics,4,129,1.503
2019 to 20,East of England,Male,Maths & Further Maths & Biology & Chemistry,4,52,0.432
2019 to 20,West Midlands,Male,Maths & Further Maths & Biology & Chemistry,4,24,0.246
2019 to 20,East Midlands,Male,Maths & Further Maths & Biology & Chemistry,4,18,0.239
2019 to 20,South West,Male,Maths & Further Maths & Biology & Chemistry,4,17,0.19
2019 to 20,South East,Male,Maths & Further Maths & Biology & Chemistry,4,45,0.242
2019 to 20,North West,Male,Maths & Further Maths & Biology & Chemistry,4,20,0.16
2019 to 20,North East,Male,Maths & Further Maths & Biology & Chemistry,4,5,0.13
2019 to 20,London,Male,Maths & Further Maths & Biology & Chemistry,4,44,0.25
2019 to 20,Yorkshire and The Humber,Male,Maths & Further Maths & Biology & Chemistry,4,15,0.175
2019 to 20,East of England,All,Biology & Physics,2,63,0.236
2019 to 20,West Midlands,All,Biology & Physics,2,59,0.255
2019 to 20,East Midlands,All,Biology & Physics,2,57,0.328
2019 to 20,South West,All,Biology & Physics,2,50,0.243
2019 to 20,South East,All,Biology & Physics,2,91,0.22
2019 to 20,North West,All,Biology & Physics,2,57,0.198
2019 to 20,North East,All,Biology & Physics,2,14,0.155
2019 to 20,London,All,Biology & Physics,2,56,0.14
2019 to 20,Yorkshire and The Humber,All,Biology & Physics,2,35,0.173
2019 to 20,East of England,All,Maths & Further Maths & Physics,3,393,1.471
2019 to 20,West Midlands,All,Maths & Further Maths & Physics,3,280,1.212
2019 to 20,East Midlands,All,Maths & Further Maths & Physics,3,241,1.388
2019 to 20,South West,All,Maths & Further Maths & Physics,3,348,1.689
2019 to 20,South East,All,Maths & Further Maths & Physics,3,674,1.63
2019 to 20,North West,All,Maths & Further Maths & Physics,3,357,1.24
2019 to 20,North East,All,Maths & Further Maths & Physics,3,104,1.154
2019 to 20,London,All,Maths & Further Maths & Physics,3,946,2.359
2019 to 20,Yorkshire and The Humber,All,Maths & Further Maths & Physics,3,248,1.227
2019 to 20,East of England,All,Maths & Chemistry & Physics,3,480,1.796
2019 to 20,West Midlands,All,Maths & Chemistry & Physics,3,531,2.299
2019 to 20,East Midlands,All,Maths & Chemistry & Physics,3,389,2.24
2019 to 20,South West,All,Maths & Chemistry & Physics,3,438,2.126
2019 to 20,South East,All,Maths & Chemistry & Physics,3,778,1.881
2019 to 20,North West,All,Maths & Chemistry & Physics,3,710,2.465
2019 to 20,North East,All,Maths & Chemistry & Physics,3,235,2.607
2019 to 20,London,All,Maths & Chemistry & Physics,3,991,2.471
2019 to 20,Yorkshire and The Humber,All,Maths & Chemistry & Physics,3,474,2.344
2019 to 20,East of England,Male,Maths,1,1199,9.955
2019 to 20,West Midlands,Male,Maths,1,957,9.818
2019 to 20,East Midlands,Male,Maths,1,694,9.201
2019 to 20,South West,Male,Maths,1,778,8.673
2019 to 20,South East,Male,Maths,1,1804,9.693
2019 to 20,North West,Male,Maths,1,1287,10.28
2019 to 20,North East,Male,Maths,1,321,8.362
2019 to 20,London,Male,Maths,1,2167,12.302
2019 to 20,Yorkshire and The Humber,Male,Maths,1,767,8.938
2019 to 20,East of England,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,West Midlands,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,East Midlands,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,South West,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,South East,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,North West,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,North East,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,London,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,Yorkshire and The Humber,Male,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,East of England,All,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,West Midlands,All,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,East Midlands,All,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,South West,All,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,South East,All,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,North West,All,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,North East,All,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,London,All,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,Yorkshire and The Humber,All,Further Maths & Biology & Physics,3,0,0.0
2019 to 20,East of England,Female,Maths & Further Maths & Biology & Computer Science,4,0,0.0
2019 to 20,West Midlands,Female,Maths & Further Maths & Biology & Computer Science,4,1,0.007
2019 to 20,East Midlands,Female,Maths & Further Maths & Biology & Computer Science,4,0,0.0
2019 to 20,South West,Female,Maths & Further Maths & Biology & Computer Science,4,0,0.0
2019 to 20,South East,Female,Maths & Further Maths & Biology & Computer Science,4,0,0.0
2019 to 20,North West,Female,Maths & Further Maths & Biology & Computer Science,4,1,0.006
2019 to 20,North East,Female,Maths & Further Maths & Biology & Computer Science,4,0,0.0
2019 to 20,London,Female,Maths & Further Maths & Biology & Computer Science,4,0,0.0
2019 to 20,Yorkshire and The Humber,Female,Maths & Further Maths & Biology & Computer Science,4,0,0.0
2019 to 20,East of England,Female,Maths & Computer Science,2,38,0.259
2019 to 20,West Midlands,Female,Maths & Computer Science,2,40,0.3
2019 to 20,East Midlands,Female,Maths & Computer Science,2,23,0.234
2019 to 20,South West,Female,Maths & Computer Science,2,31,0.266
2019 to 20,South East,Female,Maths & Computer Science,2,72,0.317
2019 to 20,North West,Female,Maths & Computer Science,2,47,0.289
2019 to 20,North East,Female,Maths & Computer Science,2,14,0.271
2019 to 20,London,Female,Maths & Computer Science,2,102,0.453
2019 to 20,Yorkshire and The Humber,Female,Maths & Computer Science,2,24,0.206
2019 to 20,East of England,All,Maths & Further Maths & Chemistry & Physics,4,247,0.924
2019 to 20,West Midlands,All,Maths & Further Maths & Chemistry & Physics,4,186,0.805
2019 to 20,East Midlands,All,Maths & Further Maths & Chemistry & Physics,4,142,0.818
2019 to 20,South West,All,Maths & Further Maths & Chemistry & Physics,4,170,0.825
2019 to 20,South East,All,Maths & Further Maths & Chemistry & Physics,4,391,0.945
2019 to 20,North West,All,Maths & Further Maths & Chemistry & Physics,4,156,0.542
2019 to 20,North East,All,Maths & Further Maths & Chemistry & Physics,4,46,0.51
2019 to 20,London,All,Maths & Further Maths & Chemistry & Physics,4,320,0.798
2019 to 20,Yorkshire and The Humber,All,Maths & Further Maths & Chemistry & Physics,4,166,0.821
2019 to 20,East of England,All,Maths & Further Maths & Biology & Chemistry,4,98,0.367
2019 to 20,West Midlands,All,Maths & Further Maths & Biology & Chemistry,4,49,0.212
2019 to 20,East Midlands,All,Maths & Further Maths & Biology & Chemistry,4,37,0.213
2019 to 20,South West,All,Maths & Further Maths & Biology & Chemistry,4,34,0.165
2019 to 20,South East,All,Maths & Further Maths & Biology & Chemistry,4,84,0.203
2019 to 20,North West,All,Maths & Further Maths & Biology & Chemistry,4,46,0.16
2019 to 20,North East,All,Maths & Further Maths & Biology & Chemistry,4,20,0.222
2019 to 20,London,All,Maths & Further Maths & Biology & Chemistry,4,83,0.207
2019 to 20,Yorkshire and The Humber,All,Maths & Further Maths & Biology & Chemistry,4,41,0.203
2019 to 20,East of England,Female,Chemistry & Computer Science,2,0,0.0
2019 to 20,West Midlands,Female,Chemistry & Computer Science,2,6,0.045
2019 to 20,East Midlands,Female,Chemistry & Computer Science,2,3,0.031
2019 to 20,South West,Female,Chemistry & Computer Science,2,3,0.026
2019 to 20,South East,Female,Chemistry & Computer Science,2,2,0.009
2019 to 20,North West,Female,Chemistry & Computer Science,2,2,0.012
2019 to 20,North East,Female,Chemistry & Computer Science,2,0,0.0
2019 to 20,London,Female,Chemistry & Computer Science,2,3,0.013
2019 to 20,Yorkshire and The Humber,Female,Chemistry & Computer Science,2,0,0.0
2019 to 20,East of England,Female,Maths & Physics & Computer Science,3,24,0.163
2019 to 20,West Midlands,Female,Maths & Physics & Computer Science,3,25,0.187
2019 to 20,East Midlands,Female,Maths & Physics & Computer Science,3,17,0.173
2019 to 20,South West,Female,Maths & Physics & Computer Science,3,18,0.155
2019 to 20,South East,Female,Maths & Physics & Computer Science,3,36,0.158
2019 to 20,North West,Female,Maths & Physics & Computer Science,3,29,0.178
2019 to 20,North East,Female,Maths & Physics & Computer Science,3,3,0.058
2019 to 20,London,Female,Maths & Physics & Computer Science,3,47,0.209
2019 to 20,Yorkshire and The Humber,Female,Maths & Physics & Computer Science,3,15,0.129
2019 to 20,East of England,Female,Maths & Further Maths & Biology,3,9,0.061
2019 to 20,West Midlands,Female,Maths & Further Maths & Biology,3,14,0.105
2019 to 20,East Midlands,Female,Maths & Further Maths & Biology,3,12,0.122
2019 to 20,South West,Female,Maths & Further Maths & Biology,3,7,0.06
2019 to 20,South East,Female,Maths & Further Maths & Biology,3,26,0.114
2019 to 20,North West,Female,Maths & Further Maths & Biology,3,10,0.061
2019 to 20,North East,Female,Maths & Further Maths & Biology,3,4,0.077
2019 to 20,London,Female,Maths & Further Maths & Biology,3,10,0.044
2019 to 20,Yorkshire and The Humber,Female,Maths & Further Maths & Biology,3,8,0.069
2019 to 20,East of England,All,Maths,1,2067,7.735
2019 to 20,West Midlands,All,Maths,1,1688,7.309
2019 to 20,East Midlands,All,Maths,1,1223,7.043
2019 to 20,South West,All,Maths,1,1394,6.766
2019 to 20,South East,All,Maths,1,3275,7.918
2019 to 20,North West,All,Maths,1,2208,7.667
2019 to 20,North East,All,Maths,1,567,6.291
2019 to 20,London,All,Maths,1,3925,9.786
2019 to 20,Yorkshire and The Humber,All,Maths,1,1377,6.81
2019 to 20,East of England,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,West Midlands,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,East Midlands,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,South West,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,South East,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,North West,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,North East,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,London,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,Yorkshire and The Humber,All,Maths & Further Maths & Biology & Chemistry & Physics & Computer Science,6,0,0.0
2019 to 20,East of England,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
2019 to 20,West Midlands,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
2019 to 20,East Midlands,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
2019 to 20,South West,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
2019 to 20,South East,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
2019 to 20,North West,Female,Further Maths & Chemistry & Computer Science,3,0,0.0
